Pertanyaan;Coarse;Fine
Apa singkatan dari komisi pemberantasan korupsi;ABBR;abbreviation
Apa akronim dari lembaga ilmu pengatahuan indonesia;ABBR;abbreviation
apa akronim untuk persatuan atletik seluruh indonesia;ABBR;abbreviation
apa singkatan untuk persatuan sepakbola seluruh indonesia;ABBR;abbreviation
apa kependekan dari ikatan pengusaha indonesia;ABBR;abbreviation
apakah singkatan untuk angkatan besenjata  indonesia;ABBR;abbreviation
apa singkatan dari tempat pembuatan sampah;ABBR;abbreviation
apa singkatan untuk polisi lalu lintas;ABBR;abbreviation
global positioning system juga sering disingkat dengan;ABBR;abbreviation
automated teller machine juga sering disingkat;ABBR;abbreviation
apa singkatan dari general motors;ABBR;abbreviation
apa singkatan untuk chief of operation;ABBR;abbreviation
apa akronim dari malas bergerak;ABBR;abbreviation
apa akronim untuk liquid crystal display;ABBR;abbreviation
cash on delivery juga sering disingkat;ABBR;abbreviation
apa singkatan dari persatuan sepakbola jakarta;ABBR;abbreviation
apa singkatan untuk persatuan penembak indonesia;ABBR;abbreviation
apa akronim untuk taman pendidikan al quran;ABBR;abbreviation
apa kependekan dari pendidikan anak usia dini;ABBR;abbreviation
apa kependekan untuk taman kanak kanak;ABBR;abbreviation
sarjana hukum juga disingkat dengan;ABBR;abbreviation
sarjana sains disingkat dengan;ABBR;abbreviation
apakah singkatan sarjana komunikasi;ABBR;abbreviation
apa singkatan dari akademi ilmu pelayaran;ABBR;abbreviation
akademi militer juga sering disingkat dengan;ABBR;abbreviation
apa kependekan dari akademi perawat;ABBR;abbreviation
apakah kependekan untuk asosiasi kontraktor indonesia;ABBR;abbreviation
apa singkatan dari aliansi jurnalis independen;ABBR;abbreviation
apa singkatan untuk ahli media farmasi;ABBR;abbreviation
asosiasi panel kayu indonesia biasa disingkat dengan;ABBR;abbreviation
apa singkatan untk akademi pemimpin perusahaan;ABBR;abbreviation
apa kependekan dari badan pemeriksa keuangan;ABBR;abbreviation
buku pemilik kendaraan bermotor disingkat dengan;ABBR;abbreviation
